Time,188e2a5d583c,26f29effeddc,4b86a2021b77,8f96fa542f8b
1592334347000,0,,,
1592334353000,0,,,
1592334358000,0,,,
1592334363000,0,,,
1592334368000,0,,,
1592334373000,0,,,
1592334378000,0,,,
1592334383000,0,,,
1592334388000,0,,,
1592334394000,0,,,
1592334399000,0,,,
1592334404000,9,,,
1592334409000,9,,,
1592334414000,9,,,
1592334419000,9,,,
1592334424000,9,,,
1592334430000,9,,,
1592334435000,9,,,
1592334440000,9,,,
1592334445000,9,,,
1592334450000,9,,,
1592334455000,9,,,
1592334461000,9,,,
1592334466000,9,,,
1592334471000,9,,,
1592334476000,9,,,
1592334481000,9,,,
1592334486000,9,,,
1592334347000,,0,,
1592334352000,,0,,
1592334358000,,0,,
1592334363000,,0,,
1592334368000,,0,,
1592334373000,,0,,
1592334380000,,0,,
1592334385000,,0,,
1592334390000,,0,,
1592334395000,,0,,
1592334401000,,9,,
1592334406000,,9,,
1592334411000,,9,,
1592334416000,,9,,
1592334421000,,9,,
1592334426000,,9,,
1592334431000,,9,,
1592334437000,,9,,
1592334442000,,9,,
1592334447000,,9,,
1592334452000,,9,,
1592334457000,,9,,
1592334462000,,9,,
1592334468000,,9,,
1592334473000,,9,,
1592334478000,,9,,
1592334483000,,9,,
1592334488000,,9,,
1592334347000,,,0,
1592334353000,,,0,
1592334358000,,,0,
1592334363000,,,0,
1592334368000,,,0,
1592334373000,,,0,
1592334378000,,,0,
1592334383000,,,0,
1592334388000,,,0,
1592334394000,,,0,
1592334399000,,,0,
1592334404000,,,9,
1592334409000,,,9,
1592334414000,,,9,
1592334419000,,,9,
1592334424000,,,9,
1592334430000,,,9,
1592334435000,,,9,
1592334440000,,,9,
1592334445000,,,9,
1592334450000,,,9,
1592334455000,,,9,
1592334460000,,,9,
1592334466000,,,9,
1592334471000,,,9,
1592334476000,,,9,
1592334481000,,,9,
1592334486000,,,9,
1592334347000,,,,0
1592334353000,,,,0
1592334358000,,,,0
1592334363000,,,,0
1592334368000,,,,0
1592334373000,,,,0
1592334380000,,,,0
1592334385000,,,,0
1592334390000,,,,0
1592334396000,,,,0
1592334401000,,,,9
1592334406000,,,,9
1592334411000,,,,9
1592334416000,,,,9
1592334421000,,,,9
1592334426000,,,,9
1592334432000,,,,9
1592334437000,,,,9
1592334442000,,,,9
1592334447000,,,,9
1592334452000,,,,9
1592334457000,,,,9
1592334463000,,,,9
1592334468000,,,,9
1592334473000,,,,9
1592334478000,,,,9
1592334483000,,,,9
1592334488000,,,,9
