Time,"24d3987e9b67","6c0244b574f8","e3db9527e60b","e6f3d5f0b9f2"
1591627424000,11642,23500,20202,9254
1591627429000,11642,25302,20202,7452
1591627434000,11642,25302,20202,7452
1591627439000,11642,25302,20202,7452
1591627444000,11642,25302,20202,7452
1591627450000,11642,,20202,
1591627455000,11642,,20202,7452
1591627460000,11642,25302,20202,7452
1591627465000,11642,25302,20202,7452
1591627470000,11642,25302,20202,7452
1591627475000,11642,25302,20202,7452
1591627480000,11642,25302,,7452
1591627486000,11642,,20202,
1591627491000,11642,25302,20202,7452
1591627496000,11642,25302,20202,7452
1591627501000,11642,25302,20202,7452
1591627506000,11642,25302,20202,7452
1591627511000,11642,25302,20202,7452
1591627517000,11642,,20202,
1591627522000,11642,,20202,
1591627527000,11642,25302,20202,7452
1591627532000,11642,25302,20202,7452
1591627537000,11642,25302,20202,7452
1591627542000,11642,25302,20202,7452
1591627547000,11642,25302,,7452
1591627553000,11642,,20202,
1591627558000,11642,,20202,7452
1591627563000,11642,,20202,7452
1591627568000,11642,,20202,7452
1591627573000,11642,,20202,7452
1591627578000,11642,,,7452
1591627584000,11642,,20202,
1591627589000,11642,,20202,
1591627594000,11642,,20202,7452
1591627599000,11642,,20202,7452
1591627604000,11642,,20202,7452
1591627609000,11642,,20202,7452
1591627614000,11642,,,7452
1591627620000,11642,,20202,
1591627625000,11642,,20202,7452
1591627630000,11642,,20202,7452
1591627635000,11642,,20202,7452
1591627640000,11642,,20202,7452
1591627645000,11642,,,7452
1591627651000,11642,,20202,
1591627656000,11642,,20202,
1591627661000,11642,,20202,7452
1591627666000,11642,,20202,7452
1591627671000,11642,,20202,7452
1591627676000,11642,,20202,7452
1591627681000,11642,,,7452
1591627687000,11642,,20202,
1591627692000,11642,,20202,
1591627449000,,25302,,7452
1591627454000,,25302,,
1591627485000,,25302,,7452
1591627516000,,25302,,7452
1591627521000,,25302,,7452
1591627560000,,25302,,
1591627565000,,25302,,
1591627570000,,25302,,
1591627575000,,25302,,
1591627580000,,25302,,
1591627585000,,25302,,
1591627590000,,25302,,
1591627596000,,25302,,
1591627601000,,25302,,
1591627606000,,25302,,
1591627611000,,25302,,
1591627616000,,25302,,
1591627621000,,25302,,
1591627627000,,25302,,
1591627632000,,25302,,
1591627637000,,25302,,
1591627642000,,25302,,
1591627647000,,25302,,
1591627652000,,25302,,
1591627657000,,25302,,
1591627663000,,25302,,
1591627668000,,25302,,
1591627673000,,25302,,
1591627678000,,25302,,
1591627683000,,25302,,
1591627688000,,25302,,
1591627481000,,,20202,
1591627548000,,,20202,
1591627579000,,,20202,
1591627615000,,,20202,
1591627646000,,,20202,
1591627682000,,,20202,
1591627552000,,,,7452
1591627583000,,,,7452
1591627588000,,,,7452
1591627619000,,,,7452
1591627650000,,,,7452
1591627655000,,,,7452
1591627686000,,,,7452
1591627691000,,,,7452
