Time,172.24.0.11,172.24.0.12,172.24.0.13,172.24.0.14
1592665554000,0,,,
1592665559000,0,,,
1592665564000,0,,,
1592665569000,0,,,
1592665574000,0,,,
1592665579000,0,,,
1592665584000,0,,,
1592665590000,0,,,
1592665595000,0,,,
1592665600000,13,,,
1592665605000,13,,,
1592665610000,13,,,
1592665615000,13,,,
1592665620000,13,,,
1592665626000,13,,,
1592665631000,13,,,
1592665636000,13,,,
1592665641000,13,,,
1592665646000,13,,,
1592665651000,13,,,
1592665659000,15,,,
1592665664000,15,,,
1592665669000,13,,,
1592665674000,13,,,
1592665679000,13,,,
1592665684000,13,,,
1592665689000,13,,,
1592665695000,13,,,
1592665700000,13,,,
1592665705000,13,,,
1592665710000,13,,,
1592665715000,13,,,
1592665720000,13,,,
1592665725000,13,,,
1592665731000,13,,,
1592665736000,13,,,
1592665553000,,0,,
1592665558000,,0,,
1592665564000,,0,,
1592665569000,,0,,
1592665574000,,0,,
1592665579000,,0,,
1592665586000,,0,,
1592665591000,,0,,
1592665596000,,0,,
1592665601000,,7,,
1592665607000,,7,,
1592665612000,,7,,
1592665617000,,7,,
1592665622000,,7,,
1592665627000,,7,,
1592665632000,,7,,
1592665638000,,7,,
1592665643000,,7,,
1592665648000,,7,,
1592665653000,,7,,
1592665658000,,7,,
1592665663000,,7,,
1592665668000,,7,,
1592665674000,,7,,
1592665679000,,7,,
1592665684000,,7,,
1592665689000,,7,,
1592665694000,,7,,
1592665699000,,7,,
1592665705000,,7,,
1592665710000,,7,,
1592665715000,,7,,
1592665720000,,7,,
1592665725000,,7,,
1592665730000,,7,,
1592665735000,,7,,
1592665554000,,,0,
1592665559000,,,0,
1592665564000,,,0,
1592665569000,,,0,
1592665574000,,,0,
1592665580000,,,0,
1592665585000,,,0,
1592665590000,,,0,
1592665595000,,,0,
1592665600000,,,12,
1592665605000,,,12,
1592665610000,,,12,
1592665616000,,,12,
1592665621000,,,12,
1592665626000,,,12,
1592665631000,,,12,
1592665636000,,,12,
1592665641000,,,12,
1592665646000,,,12,
1592665652000,,,12,
1592665657000,,,14,
1592665662000,,,14,
1592665667000,,,12,
1592665672000,,,12,
1592665677000,,,12,
1592665682000,,,12,
1592665688000,,,12,
1592665693000,,,12,
1592665698000,,,12,
1592665703000,,,12,
1592665708000,,,12,
1592665713000,,,12,
1592665719000,,,12,
1592665724000,,,12,
1592665729000,,,12,
1592665734000,,,12,
1592665739000,,,12,
1592665564000,,,,0
1592665569000,,,,0
1592665574000,,,,0
1592665579000,,,,0
1592665584000,,,,0
1592665589000,,,,0
1592665595000,,,,0
1592665600000,,,,4
1592665605000,,,,4
1592665610000,,,,4
1592665615000,,,,4
1592665620000,,,,4
1592665626000,,,,4
1592665631000,,,,4
1592665664000,,,,0
1592665669000,,,,4
1592665674000,,,,4
1592665680000,,,,4
1592665685000,,,,4
1592665690000,,,,4
1592665695000,,,,4
1592665700000,,,,4
1592665705000,,,,4
1592665710000,,,,4
1592665716000,,,,4
1592665721000,,,,4
1592665726000,,,,4
1592665731000,,,,4
1592665736000,,,,4
