Time,78034b84ad0f,8d2d383ac982,481714f496e4,6f2c053265f6
1592665598000,291,,,
1592665599000,325,,,
1592665600000,378,,,
1592665653000,270,,,
1592665664000,308,,,
1592665666000,319,,,
1592665667000,347,,,
1592665598000,,217,,
1592665599000,,262,,
1592665600000,,303,,
1592665653000,,264,,
1592665664000,,268,,
1592665665000,,228,,
1592665666000,,268,,
1592665667000,,265,,
1592665598000,,,263,
1592665599000,,,264,
1592665600000,,,314,
1592665653000,,,269,
1592665664000,,,279,
1592665666000,,,276,
1592665667000,,,265,
1592665598000,,,,209
1592665599000,,,,211
1592665600000,,,,287
1592665664000,,,,17
1592665665000,,,,245
1592665666000,,,,210
1592665667000,,,,261
