Time,"05a1edad2fbe","475b23bd6fe1","61e1d49d0982","6501f2170a37"
1591462410000,11836,14213,12615,
1591462415000,11836,14213,12615,
1591462420000,11836,14213,12615,
1591462425000,11836,14213,12615,
1591462431000,11836,,,
1591462436000,11836,14213,,
1591462441000,16567,17774,,
1591462446000,16567,17774,,
1591462451000,16567,17774,,
1591462456000,16567,17774,,
1591462461000,16567,17774,,
1591462467000,16567,,,
1591462472000,24815,,,
1591462477000,24815,,,
1591462482000,24815,,,
1591462487000,24815,,,
1591462492000,24815,,,
1591462498000,24815,,,
1591462503000,24815,,,
1591462508000,24815,,,
1591462513000,24815,,,
1591462518000,24815,,,
1591462523000,24815,,,
1591462528000,24815,,,
1591462534000,24815,,,
1591462539000,24815,,,
1591462544000,24815,,,
1591462549000,24815,,,
1591462554000,24815,,,
1591462559000,24815,,,
1591462565000,24815,,,
1591462570000,24815,,,
1591462575000,24815,,,
1591462580000,24815,,,
1591462585000,24815,,,
1591462590000,24815,,,
1591462595000,24815,,,
1591462601000,24815,,,
1591462606000,24815,,,
1591462611000,24815,,,
1591462616000,24815,,,
1591462430000,,14213,12615,
1591462407000,,,,15231
1591462412000,,,,15231
1591462417000,,,,15231
1591462422000,,,,15231
1591462427000,,,,15231
1591462432000,,,,15231
1591462437000,,,,15231
1591462443000,,,,18575
1591462448000,,,,18575
1591462453000,,,,18575
1591462458000,,,,18575
1591462463000,,,,18575
1591462468000,,,,27122
1591462474000,,,,27122
1591462479000,,,,27122
1591462484000,,,,27122
1591462489000,,,,27122
1591462494000,,,,27122
1591462499000,,,,27122
1591462505000,,,,27122
1591462510000,,,,27122
1591462515000,,,,27122
1591462520000,,,,27122
1591462525000,,,,27122
1591462530000,,,,27122
1591462535000,,,,27122
1591462541000,,,,27122
1591462546000,,,,27122
1591462551000,,,,27122
1591462556000,,,,27122
1591462561000,,,,27122
1591462566000,,,,27122
1591462572000,,,,27122
1591462577000,,,,27122
1591462582000,,,,27122
1591462587000,,,,27122
1591462592000,,,,27122
1591462597000,,,,27122
1591462602000,,,,27122
1591462608000,,,,27122
1591462613000,,,,27122
1591462618000,,,,27122
